0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.0,0.0,0.0,0.0,1.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,688.0,39074.0,59541.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,39.0,2813.0,45066.0,49257.0,2790.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,166.0,5498.0,43786.0,45059.0,5308.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,433.0,7859.0,41678.0,41757.0,7794.0,453.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,836.0,9773.0,39275.0,39322.0,9922.0,817.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,66.0,1338.0,11405.0,37167.0,37170.0,11466.0,1315.0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,126.0,1893.0,12730.0,35225.0,35371.0,12637.0,1862.0,143.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,224.0,2427.0,13826.0,33548.0,33617.0,13649.0,2454.0,234.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,365.0,3055.0,14339.0,32246.0,32207.0,14324.0,3065.0,346.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,497.0,3670.0,14747.0,31059.0,31015.0,14781.0,3696.0,457.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,676.0,4144.0,15214.0,29811.0,30032.0,15170.0,4154.0,670.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,843.0,4631.0,15674.0,28750.0,28864.0,15480.0,4714.0,846.0,92.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.0,1041.0,5209.0,15700.0,27893.0,27919.0,15754.0,5114.0,1089.0,126.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181.0,1277.0,5598.0,15914.0,26962.0,27127.0,15908.0,5555.0,1272.0,183.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252.0,1439.0,5989.0,16037.0,26156.0,26404.0,16008.0,5973.0,1471.0,221.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317.0,1700.0,6288.0,16041.0,25595.0,25613.0,16077.0,6280.0,1729.0,300.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400.0,1978.0,6582.0,15918.0,25256.0,24677.0,16181.0,6644.0,1901.0,377.0,41.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466.0,2227.0,6908.0,15893.0,24442.0,24289.0,16175.0,6917.0,2119.0,447.0,60.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
573.0,2440.0,7196.0,15853.0,23946.0,23628.0,16019.0,7310.0,2341.0,543.0,78.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
679.0,2563.0,7494.0,15913.0,23191.0,23285.0,15902.0,7623.0,2496.0,632.0,108.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
783.0,2790.0,7767.0,15881.0,22531.0,22905.0,15785.0,7819.0,2726.0,734.0,134.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
875.0,3006.0,7988.0,15847.0,22111.0,22302.0,15731.0,8029.0,2944.0,826.0,170.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
982.0,3175.0,8163.0,15768.0,21683.0,21899.0,15621.0,8239.0,3122.0,918.0,196.0,39.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1109.0,3325.0,8380.0,15677.0,21297.0,21449.0,15547.0,8329.0,3372.0,1028.0,227.0,36.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1225.0,3638.0,8347.0,15680.0,20927.0,20931.0,15542.0,8443.0,3585.0,1116.0,266.0,47.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1360.0,3738.0,8574.0,15618.0,20427.0,20480.0,15691.0,8542.0,3680.0,1221.0,311.0,65.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1491.0,3944.0,8735.0,15366.0,20266.0,20021.0,15638.0,8673.0,3806.0,1329.0,354.0,70.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1686.0,4035.0,8967.0,15120.0,19947.0,19763.0,15422.0,8860.0,3946.0,1446.0,403.0,79.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1794.0,4178.0,9184.0,14875.0,19605.0,19490.0,15333.0,8896.0,4172.0,1514.0,466.0,89.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1875.0,4404.0,9053.0,15013.0,19254.0,19185.0,15195.0,8957.0,4371.0,1617.0,487.0,115.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031.0,4479.0,9149.0,14918.0,19080.0,18914.0,14966.0,9095.0,4444.0,1724.0,557.0,125.0,30.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
